AÑO,SEMESTRE,ACTUAL,ANTERIOR,TASA_ACTUAL,TASA_ANTERIOR,VARIACION,VARIACION_TASA,FECHA
2016,1,67,0,2.1860020176472355,0.0,inf,inf,2016-01-01
2016,6,82,67,2.67540545443393,2.1860020176472355,22.388059701492537,22.388059701492544,2016-06-01
2017,1,81,82,2.6427785586481503,2.67540545443393,-1.2195121951219512,-1.219512195121958,2017-01-01
2017,6,79,81,2.577524767076591,2.6427785586481503,-2.4691358024691357,-2.4691358024691334,2017-06-01
2018,1,76,79,2.479644079719252,2.577524767076591,-3.79746835443038,-3.797468354430384,2018-01-01
2018,6,85,76,2.7732861417912686,2.479644079719252,11.842105263157894,11.842105263157892,2018-06-01
2019,1,59,85,1.9249868513609985,2.7732861417912686,-30.58823529411765,-30.588235294117638,2019-01-01
2019,6,46,59,1.500837206145863,1.9249868513609985,-22.033898305084744,-22.033898305084755,2019-06-01
2020,1,31,46,1.0114337693591686,1.500837206145863,-32.608695652173914,-32.60869565217391,2020-01-01
2020,6,56,31,1.8271061640036592,1.0114337693591686,80.64516129032258,80.64516129032255,2020-06-01
2021,1,55,56,1.7944792682178796,1.8271061640036592,-1.7857142857142856,-1.7857142857142838,2021-01-01
2021,6,42,55,1.3703296230027446,1.7944792682178796,-23.636363636363637,-23.636363636363626,2021-06-01
